Project.ID,Deployment.Location.ID,Latitude,Longitude,Country,HMI,Climate.bio01,Climate.bio07,Land.Cover,Tree.Cover,Elevation.m,GPW,Protected,BIOME_NAME,ECO_NAME,RoadDensity_m_km2,dist_road
2C2T,FS90,46.11704,11.16428,Italy,0.5357702,9,30.1,Closed_forest_mixed,84,855,31.7461815,no,Temperate Conifer Forests,Alps conifer and mixed forests,2242,754.87
2C2T,FS156,46.11909,11.1794,Italy,0.5548238,8.5,29.7,Closed_forest_mixed,84,838,33.9402122,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,122.82
2C2T,FS47,46.11968,11.17086,Italy,0.5548238,8.5,29.7,Closed_forest_evergreen,77,838,33.9402122,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,550.87
2C2T,FS43,46.12587,11.18489,Italy,0.6029773,8.3,29.6,Closed_forest_evergreen,86,928,10.2600679,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,461.19
2C2T,FS75,46.13076,11.16591,Italy,0.4818032,8.7,29.9,Closed_forest_mixed,88,832,0.5068454,yes,Temperate Conifer Forests,Alps conifer and mixed forests,2242,1042.75
2C2T,FS40,46.13096,11.19001,Italy,0.5344193,8.3,29.6,Closed_forest_evergreen,91,838,2.964077,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,643.86
2C2T,FS39,46.1315,11.19078,Italy,0.5344193,8.3,29.6,Closed_forest_evergreen,91,838,2.964077,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,649.2
2C2T,FS112,46.13174,11.1987,Italy,0.5685307,8.7,29.9,Closed_forest_evergreen,85,846,78.383728,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,1121.71
2C2T,FS38,46.13181,11.1903,Italy,0.5344193,8.3,29.6,Closed_forest_evergreen,91,838,2.964077,no,Temperate Conifer Forests,Alps conifer and mixed forests,1296,598.87
2C2T,FS97,46.13325,11.16335,Italy,0.4818032,8.7,29.9,Closed_forest_mixed,88,832,0.5068454,no,Temperate Conifer Forests,Alps conifer and mixed forests,2242,1193.99
