"week","Cams","Dets","Date","Rate"
"2018-51",32,0,2018-12-18,0
"2018-52",82,1,2018-12-24,0.0121951219512195
"2019-1",189,17,2019-01-01,0.0899470899470899
"2019-10",182,22,2019-03-05,0.120879120879121
"2019-11",185,30,2019-03-12,0.162162162162162
"2019-12",183,16,2019-03-19,0.087431693989071
"2019-13",187,51,2019-03-26,0.272727272727273
"2019-14",189,34,2019-04-02,0.17989417989418
"2019-15",189,44,2019-04-09,0.232804232804233
"2019-16",192,57,2019-04-16,0.296875
"2019-17",189,39,2019-04-23,0.206349206349206
"2019-18",189,45,2019-04-30,0.238095238095238
"2019-19",189,44,2019-05-07,0.232804232804233
"2019-2",189,21,2019-01-08,0.111111111111111
"2019-20",189,58,2019-05-14,0.306878306878307
"2019-21",189,28,2019-05-21,0.148148148148148
"2019-22",189,21,2019-05-28,0.111111111111111
"2019-23",201,16,2019-06-04,0.0796019900497512
"2019-24",203,29,2019-06-11,0.142857142857143
"2019-25",217,31,2019-06-18,0.142857142857143
"2019-26",228,56,2019-06-25,0.245614035087719
"2019-27",245,58,2019-07-02,0.236734693877551
"2019-28",227,65,2019-07-09,0.286343612334802
"2019-29",224,75,2019-07-16,0.334821428571429
"2019-3",189,25,2019-01-15,0.132275132275132
"2019-30",224,89,2019-07-23,0.397321428571429
"2019-31",224,72,2019-07-30,0.321428571428571
"2019-32",237,95,2019-08-06,0.40084388185654
"2019-33",245,50,2019-08-13,0.204081632653061
"2019-34",245,58,2019-08-20,0.236734693877551
"2019-35",245,49,2019-08-27,0.2
"2019-36",245,81,2019-09-03,0.330612244897959
"2019-37",245,70,2019-09-10,0.285714285714286
"2019-38",245,94,2019-09-17,0.383673469387755
"2019-39",240,94,2019-09-24,0.391666666666667
"2019-4",189,14,2019-01-22,0.0740740740740741
"2019-40",231,83,2019-10-01,0.359307359307359
"2019-41",231,42,2019-10-08,0.181818181818182
"2019-42",231,39,2019-10-15,0.168831168831169
"2019-43",231,30,2019-10-22,0.12987012987013
"2019-44",231,20,2019-10-29,0.0865800865800866
"2019-45",231,11,2019-11-05,0.0476190476190476
"2019-46",231,10,2019-11-12,0.0432900432900433
"2019-47",231,20,2019-11-19,0.0865800865800866
"2019-48",231,21,2019-11-26,0.0909090909090909
"2019-49",231,13,2019-12-03,0.0562770562770563
"2019-5",189,28,2019-01-29,0.148148148148148
"2019-50",228,37,2019-12-10,0.162280701754386
"2019-51",220,61,2019-12-17,0.277272727272727
"2019-52",224,35,2019-12-24,0.15625
"2019-6",189,10,2019-02-05,0.0529100529100529
"2019-7",189,16,2019-02-12,0.0846560846560847
"2019-8",189,16,2019-02-19,0.0846560846560847
"2019-9",187,19,2019-02-26,0.101604278074866
"2020-1",224,45,2020-01-01,0.200892857142857
"2020-10",203,24,2020-03-04,0.118226600985222
"2020-11",203,28,2020-03-11,0.137931034482759
"2020-12",203,83,2020-03-18,0.408866995073892
"2020-13",203,52,2020-03-25,0.25615763546798
"2020-14",201,70,2020-04-01,0.348258706467662
"2020-15",199,77,2020-04-08,0.386934673366834
"2020-16",205,130,2020-04-15,0.634146341463415
"2020-17",215,162,2020-04-22,0.753488372093023
"2020-18",209,131,2020-04-29,0.626794258373206
"2020-19",203,130,2020-05-06,0.640394088669951
"2020-2",224,18,2020-01-08,0.0803571428571429
"2020-20",203,148,2020-05-13,0.729064039408867
"2020-21",203,95,2020-05-20,0.467980295566502
"2020-22",208,130,2020-05-27,0.625
"2020-23",210,118,2020-06-03,0.561904761904762
"2020-24",210,94,2020-06-10,0.447619047619048
"2020-25",210,61,2020-06-17,0.29047619047619
"2020-26",204,56,2020-06-24,0.274509803921569
"2020-27",203,30,2020-07-01,0.147783251231527
"2020-28",201,88,2020-07-08,0.437810945273632
"2020-29",196,68,2020-07-15,0.346938775510204
"2020-3",224,16,2020-01-15,0.0714285714285714
"2020-30",196,50,2020-07-22,0.255102040816327
"2020-31",169,54,2020-07-29,0.319526627218935
"2020-32",7,6,2020-08-05,0.857142857142857
"2020-4",217,33,2020-01-22,0.152073732718894
"2020-5",217,33,2020-01-29,0.152073732718894
"2020-6",217,46,2020-02-05,0.211981566820276
"2020-7",217,26,2020-02-12,0.119815668202765
"2020-8",214,38,2020-02-19,0.177570093457944
"2020-9",205,29,2020-02-26,0.141463414634146
