Project.ID,Species,yi_mod_lowhigh,vi_mod_lowhigh,Longitude_mean,Latitude_mean,Comparison,det_diet_breadth_n,habitat_breadth_n,stringency_med,HMI_med,Treatment_Activity_NoSame,Habitat_closure,family,trophic_level,Habitat_closure.1,activity_cycle,foraging_stratum,trophic_groups,hum_mod_noSame,brain_mass_relative,proj_sp,Hunted,Duration
2C2T,Capreolus capreolus,0.092156963,0.224207024,1.309460092,0.459564004,Year,-0.885048546,0.557287084,1.591030807,0.83924279,Low,Closed,Cervidae,herbivore,Closed,mix,G,large_herbivore,0.626148309,0.4547,2C2T Capreolus capreolus,Yes (commonly),<3 months
2C2T,Cervus elaphus,-0.703048477,0.483318021,1.309460092,0.459564004,Year,-0.885048546,0.557287084,1.591030807,0.83924279,Low,Closed,Cervidae,herbivore,Closed,mix,G,large_herbivore,0.626148309,0.4897,2C2T Cervus elaphus,Yes (commonly),<3 months
2C2T,Lepus europaeus,-1.54394556,1.26780054,1.309460092,0.459564004,Year,-0.885048546,-0.046091413,1.591030807,0.83924279,Low,Closed,Leporidae,herbivore,Closed,nocturnal_only,G,small_herbivore,0.626148309,0.32,2C2T Lepus europaeus,Yes (commonly),<3 months
2C2T,Martes foina,-2.319641104,1.711095094,1.309460092,0.459564004,Year,1.080975323,0.557287084,1.591030807,0.83924279,Low,Closed,Mustelidae,omnivore,Closed,mix,G,small_carnivore,0.626148309,0.414,2C2T Martes foina,No,NA
2C2T,Meles meles,-0.368400847,0.429445441,1.309460092,0.459564004,Year,2.063987257,1.160665581,1.591030807,0.83924279,Low,Closed,Mustelidae,omnivore,Closed,nocturnal_only,G,small_omnivore,0.626148309,0.425,2C2T Meles meles,No,NA
2C2T,Rupicapra rupicapra,-0.24372616,1.236396951,1.309460092,0.459564004,Year,-0.885048546,0.557287084,1.591030807,0.83924279,Low,Closed,Bovidae,herbivore,Closed,mix,G,large_herbivore,0.626148309,0.4553,2C2T Rupicapra rupicapra,No,NA
2C2T,Sus scrofa,-3.875878375,1.254398934,1.309460092,0.459564004,Year,-0.885048546,2.367422575,1.591030807,0.83924279,Low,Closed,Suidae,omnivore,Closed,mix,G,large_omnivore,0.626148309,0.4343,2C2T Sus scrofa,Yes (rarely),<3 months
2C2T,Vulpes vulpes,0.080600194,0.636851084,1.309460092,0.459564004,Year,0.097963389,1.764044078,1.591030807,0.83924279,Low,Closed,Canidae,omnivore,Closed,mix,G,small_omnivore,0.626148309,0.4547,2C2T Vulpes vulpes,Yes (commonly),3-9 months
AL_Forest_Auburn,Canis latrans,0.4677095,0.663347403,-0.35590885,-0.263485534,Year,0.097963389,1.160665581,-1.523221171,0.804965362,High,Closed,Canidae,carnivore,Closed,mix,G,small_carnivore,NA,0.4856,AL_Forest_Auburn Canis latrans,No,NA
AL_Forest_Auburn,Dasypus novemcinctus,0.467988853,0.693436527,-0.35590885,-0.263485534,Year,-0.885048546,1.160665581,-1.523221171,0.804965362,High,Closed,Dasypodidae,carnivore,Closed,nocturnal_only,G,small_carnivore,NA,0.2628,AL_Forest_Auburn Dasypus novemcinctus,No,NA
AL_Forest_Auburn,Didelphis virginiana,0.956801833,0.42378342,-0.35590885,-0.263485534,Year,2.063987257,-0.046091413,-1.523221171,0.804965362,High,Closed,Didelphidae,omnivore,Closed,nocturnal_only,S,small_omnivore,NA,0.2745,AL_Forest_Auburn Didelphis virginiana,No,NA
AL_Forest_Auburn,Lynx rufus,0.765386578,1.225175822,-0.35590885,-0.263485534,Year,-0.885048546,0.557287084,-1.523221171,0.804965362,High,Closed,Felidae,carnivore,Closed,nocturnal_only,G,small_carnivore,NA,0.4481,AL_Forest_Auburn Lynx rufus,No,NA
AL_Forest_Auburn,Odocoileus virginianus,0.105023304,0.342687549,-0.35590885,-0.263485534,Year,-0.885048546,3.57417957,-1.523221171,0.804965362,High,Closed,Cervidae,herbivore,Closed,mix,G,large_herbivore,NA,0.454,AL_Forest_Auburn Odocoileus virginianus,No,NA
AL_Forest_Auburn,Procyon lotor,-0.166041925,0.410274228,-0.35590885,-0.263485534,Year,2.063987257,-1.252848407,-1.523221171,0.804965362,High,Closed,Procyonidae,omnivore,Closed,nocturnal_only,G,small_omnivore,NA,0.4371,AL_Forest_Auburn Procyon lotor,No,NA
AL_Forest_Auburn,Sylvilagus floridanus,1.195548363,0.677847633,-0.35590885,-0.263485534,Year,-0.885048546,3.57417957,-1.523221171,0.804965362,High,Closed,Leporidae,herbivore,Closed,mix,G,small_herbivore,NA,0.286,AL_Forest_Auburn Sylvilagus floridanus,No,NA
AL_Forest_Auburn,Urocyon cinereoargenteus,-0.438792707,0.423360101,-0.35590885,-0.263485534,Year,2.063987257,-0.64946991,-1.523221171,0.804965362,High,Closed,Canidae,omnivore,Closed,mix,G,small_omnivore,NA,0.4483,AL_Forest_Auburn Urocyon cinereoargenteus,No,NA
Allen Fort Hood,Bassariscus astutus,-3.5591526,1.093006628,-0.566149978,-0.341683836,Year,0.097963389,0.557287084,1.07161513,-0.865478569,High,Closed,Procyonidae,omnivore,Closed,nocturnal_only,G,small_carnivore,0.796576667,0.4096,Allen Fort Hood Bassariscus astutus,Yes (rarely),NA
