"Species","projCount","noct_proj","trophic_groups","det_diet_breadth_n","activity_cycle","habitat_breadth_n","brain_mass_relative","hmi_range","rai_range","RR_range"
"Acinonyx jubatus",1,NA,"large_carnivore",-0.885,"diurnal_only",0.557,0.4381,"-1.03 to -1.03","-0.28 to -0.28","NA to NA"
"Aepyceros melampus",2,2,"large_herbivore",-0.885,"cathemeral",-0.649,0.4744,"-1.16 to -1.03","0.34 to 0.47","0.19 to 0.23"
"Alces alces",11,5,"large_herbivore",-0.885,"cathemeral",-0.649,0.4731,"-1.51 to 1.57","-0.93 to 0.7","-1.21 to 0.3"
"Antilocapra americana",2,1,"large_herbivore",-0.885,"cathemeral",-0.046,0.4507,"-1.3 to -1.25","-0.65 to 0.79","0.42 to 0.42"
"Atilax paludinosus",1,NA,"small_carnivore",1.081,"cathemeral",1.161,0.4178,"-1.16 to -1.16","0.68 to 0.68","NA to NA"
"Bassariscus astutus",1,NA,"small_carnivore",0.098,"nocturnal_only",0.557,0.4096,"-0.87 to -0.87","-3.56 to -3.56","NA to NA"
"Bison bison",3,2,"large_herbivore",-0.885,"cathemeral",0.557,0.4355,"-1.45 to -0.54","0.06 to 1.1","-0.18 to 0.3"
"Bos javanicus",1,NA,"large_herbivore",-0.885,"cathemeral",-0.649,0.4531,"-0.86 to -0.86","-0.46 to -0.46","NA to NA"
"Canis adustus",1,1,"small_carnivore",2.064,"nocturnal_only",0.557,0.4315,"-1.03 to -1.03","-0.64 to -0.64","0.05 to 0.05"
"Canis aureus",4,2,"small_carnivore",-0.885,"cathemeral",1.161,0.4644,"-0.83 to 0.16","-0.13 to 2.56","-0.96 to -0.2"
"Canis latrans",65,39,"small_carnivore",0.098,"cathemeral",1.161,0.4856,"-1.51 to 2.19","-3.56 to 2.05","-0.61 to 0.73"
"Canis lupus",25,8,"large_carnivore",-0.885,"cathemeral",2.367,0.4775,"-1.51 to 1.24","-2.15 to 2.35","-1.6 to 0.22"
"Canis mesomelas",1,1,"small_carnivore",1.081,"cathemeral",2.367,0.4505,"-1.03 to -1.03","-0.51 to -0.51","0.04 to 0.04"
"Canis rufus",1,1,"large_carnivore",-0.885,"cathemeral",0.557,0.4601,"-1.45 to -1.45","-0.35 to -0.35","-0.12 to -0.12"
"Capreolus capreolus",22,20,"large_herbivore",-0.885,"cathemeral",0.557,0.4547,"-1.03 to 1.46","-2.08 to 1.24","-0.71 to 0.41"
"Caracal caracal",1,NA,"small_carnivore",-0.885,"cathemeral",1.161,0.4244,"-1.03 to -1.03","-1.57 to -1.57","NA to NA"
"Castor canadensis",5,NA,"small_herbivore",-0.885,"cathemeral",-0.649,0.385,"-0.54 to 2.19","-0.69 to 2.04","NA to NA"
"Castor fiber",3,NA,"small_herbivore",-0.885,"cathemeral",-0.649,0.3864,"0.48 to 1.46","-2.92 to 0.92","NA to NA"
